cid,Molecular_weight,LogP,abonds,dbonds,nF,sbonds,tbonds,Ncharges,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,MolarRefractivity,Number_of_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,C,H,N,O,S,Cl,F,P,I,Br,B,RNH2,R2NH,R3N,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC
4055,172.1829958,3.0666,6,3,0,13,0,0,10,2,0,0,0,0,0,0,14,0,57.506,21,22,0,0,34.14,8.275740642,1.084024935,6.63427148,9.551020408,3.63,108,117,11,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
39562,320.1549927,5.761,16,1,0,16,0,0,11,4,0,1,1,0,0,0.130434783,23,1,90.032,30,32,0,0,57.95,10.94187549,0.976176647,10.20890929,15.87901701,6.629935721,162,186,15,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
25183872,361.0339926,5.051,6,2,0,34,0,0,26,6,4,4,0,0,0,0.391304348,23,0,104.8721,42,42,0,0,98.66,8.105770802,0.276805866,28.28323345,21.04347826,10.09573361,207,217,14,19,2,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1
5212,474.586993,9.6962,16,3,0,47,0,0,37,8,2,2,0,0,1,0.194444444,36,3,154.8645,63,66,0,2,123,12.70662896,1.00294586,11.66930695,26.07407407,10.94766821,342,354,22,30,6,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,3
5311,264.3249946,6.0928,6,2,0,31,0,0,24,5,3,3,1,0,0,0.526315789,19,0,94.185,39,39,0,0,81.26,12.68322672,0.956034473,12.26649517,17.05263158,10.74793388,192,197,14,20,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1673,149.156998,1.8809,10,0,0,9,0,0,11,5,1,0,0,0,0,0,12,2,47.3158,18,19,0,0,69.62,6.749356817,1.009302785,5.687147718,7.638888889,2.802768166,91,93,6,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
300471,400.528996,6.3854,12,4,0,32,0,0,28,8,2,2,0,0,0,0.357142857,28,0,133.0658,47,48,0,0,128.86,13.79681898,1.017866897,12.55463962,23.28061224,11.86997809,232,240,19,20,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
24978538,974.633984,23.7923,24,6,3,96,0,0,65,10,4,4,0,0,2,0.253521127,71,2,304.1343,120,126,0,4,172.82,17.62167559,1.003252614,16.5645449,52.81491768,23.4852071,657,722,47,55,5,6,3,1,3,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,7,4
5362422,477.6519941,10.8275,11,3,0,50,0,0,38,9,4,4,1,0,0,0.454545455,33,1,160.3354,63,64,0,0,163.9,13.13698016,0.961750566,12.65944625,28.23875115,15.08923743,319,333,23,31,3,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
387447,384.2449929,5.1515,12,2,0,40,0,0,34,8,4,4,0,0,0,0.379310345,29,1,126.0781,53,54,0,0,124.44,9.188324833,0.276742297,32.20173652,24.27110583,12.6398892,265,281,19,25,4,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2
9931954,323.3709929,7.556,16,1,1,28,0,0,20,2,3,2,0,0,1,0.111111111,27,2,109.8966,42,45,0,0,61.5,13.75782523,1.010595547,12.61358189,17.41563786,7.318869165,228,253,19,18,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
702558,333.3229924,5.0722,16,3,0,23,0,0,17,5,1,2,1,0,0,0.142857143,28,2,100.0201,38,41,0,0,93.3,12.14029454,0.990702885,11.25422346,18.36734694,7.552647234,210,247,19,14,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,4
9826308,477.4639904,9.0006,21,1,3,32,0,0,24,8,1,0,0,0,0,0.222222222,36,2,134.8443,51,54,0,0,116.84,14.00180277,1.004884128,12.93374856,26.07407407,10.94766821,268,285,22,18,3,4,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,4
3035714,371.4179941,6.7378,18,2,0,25,0,0,24,6,3,3,0,0,0,0.214285714,28,1,117.5278,43,45,0,2,108.93,10.35484296,0.966824412,9.710158778,20.72704082,9.467455621,217,235,18,17,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,3
15547703,406.4789913,8.0728,6,3,0,51,0,0,37,8,4,4,1,1,0,0.4,30,0,137.5368,59,60,0,0,127.79,11.87949738,0.969407395,11.25439112,25.26222222,12.7575,306,329,21,30,2,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1
9883029,307.3529936,4.9733,16,1,0,26,0,0,21,5,2,2,0,1,0,0.115384615,26,2,105.3947,40,43,0,0,67.15,13.02198478,0.969149564,12.43650688,16.46745562,6.378698225,217,247,18,17,3,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,3
11960529,244.2979956,5.2527,10,1,0,25,0,0,19,3,3,1,0,0,1,0.1,20,2,84.231,34,36,0,0,88.38,9.749039475,1.009161577,8.660533754,13.005,4.835555556,184,205,13,16,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
2532,362.4699924,9.6715,6,3,0,47,0,0,36,6,2,2,0,0,0,0.538461538,26,0,133.0978,56,56,0,0,84.5,14.72521955,1.01093277,13.56597311,24.03846154,14.0625,282,283,20,30,2,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1
42623900,567.692988,12.6451,34,0,0,48,0,0,39,7,2,2,0,1,0,0.204081633,49,2,205.3422,76,82,0,0,85.09,16.59248732,0.969073894,16.12200424,31.59183673,15.26859862,411,462,36,33,5,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,7,6
6758,394.4229906,8.9366,12,2,0,41,0,0,28,6,0,0,0,0,0,0.090909091,33,3,129.4085,51,55,0,0,63.22,14.255045,1.083498877,12.15649265,20.87786961,8.1648,284,307,23,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,2
11964036,582.7259896,13.7812,26,2,0,54,0,0,39,7,3,3,0,0,2,0.145833333,48,4,200.5634,76,82,0,0,108.9,12.24949843,0.888987721,12.77915368,30.64322917,13.77861794,424,468,33,34,4,4,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,7,5
4259181,371.4879929,9.9801,21,0,0,36,0,0,29,5,2,1,0,0,0,0.15625,32,2,142.7152,53,57,0,0,68.76,17.61179613,1.001053878,16.59325499,19.93359375,8.262562245,291,323,23,25,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4
148198,371.8719928,8.68468,12,1,0,35,1,0,28,6,2,2,0,0,2,0.407407407,27,1,127.5158,48,49,0,0,82.33,11.11991982,1.014399554,9.962070887,22.29080933,14.0625,240,248,19,22,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,2
11626927,469.5439938,8.89748,21,2,0,30,1,0,26,9,0,0,0,0,0,0.2,35,2,140.802,51,54,0,2,140.06,15.19938419,1.080260837,13.07010574,25.10367347,10.7266436,269,284,22,19,3,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,4,4
16741245,478.8759902,7.102,12,4,3,34,0,0,25,7,2,2,0,1,0,0.25,32,0,125.8747,49,50,0,2,112.16,12.69080189,0.972287849,12.05251516,27.24609375,10.092,252,273,19,18,2,5,1,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2
11524144,399.4979922,9.2212,22,0,0,37,0,0,29,5,1,1,0,0,1,0.176470588,34,4,142.9379,55,59,0,0,56.75,16.19842723,1.070797331,14.12744453,21.82525952,10.74480151,299,328,24,25,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,4
253078,392.4869938,7.9641,29,0,0,20,0,0,20,5,0,0,0,0,0,0.121212121,33,5,134.155,45,49,0,0,79.8,11.68376285,1.073986187,9.878876274,20.87786961,10.08,236,267,24,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
24951314,446.5039909,9.7678,11,3,0,49,0,0,38,10,4,4,1,0,0,0.454545455,33,1,149.0869,62,63,0,0,145.62,17.32812582,0.956330555,17.1193895,28.23875115,14.41115702,314,323,22,30,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2
11238147,548.6429882,10.5263,23,3,0,52,0,0,40,8,2,2,0,0,0,0.173913043,46,2,183.64,73,78,0,0,93.19,12.05436023,0.972407212,11.39641179,31.00189036,14.4,396,450,33,32,4,4,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,6,4
9949093,322.7549933,5.6252,21,1,0,15,0,0,15,4,2,2,0,0,0,0.115384615,26,3,102.0573,34,37,0,0,70.67,13.03999881,1.009768207,11.9138536,16.46745562,7.086924763,181,210,17,11,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4
46926350,396.4949927,7.7038,16,0,0,44,0,2,33,7,2,3,0,1,0,0.21875,32,4,141.5764,57,60,0,0,92.63,12.86619067,0.97501863,12.19584085,22.203125,10.54338843,308,333,21,28,6,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,3
208908,581.068989,12.8519,28,2,1,40,0,0,32,6,2,1,0,0,1,0.25,44,2,182.4345,66,70,0,2,119.31,17.28088155,1.014169299,16.03944456,31.42561983,14.6503642,350,385,29,26,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5,5
3385,130.0779971,-0.2463,6,2,1,4,0,0,5,2,2,2,0,0,0,0,9,1,30.6238,12,12,0,0,65.72,5.363984057,1.008143669,4.32065441,7.111111111,2.722222222,57,63,4,3,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
36462,588.561986,9.2745,12,1,0,67,0,0,45,13,3,3,0,2,0,0.104166667,48,4,173.9456,74,80,0,0,160.83,15.85902681,0.974827976,15.26853886,30.64322917,12.31000188,422,475,29,32,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,0,0,7,2
3062316,488.0169928,9.2225,17,1,0,44,0,0,34,8,4,4,0,1,1,0.222222222,36,3,154.9572,59,62,0,0,135.95,14.53801414,0.984553127,13.76610428,26.07407407,12.3008,312,329,22,26,7,2,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,4,3
9826528,482.1959903,5.3101,12,1,3,28,0,0,20,5,4,4,0,2,0,0.296296296,27,0,109.8809,40,41,0,0,90.82,10.63441749,0.972608108,9.93391819,22.29080933,10.51862673,200,221,16,14,2,4,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2
24748204,460.9379916,9.6006,17,1,1,37,0,0,25,6,1,2,1,0,0,0.205882353,34,2,137.5499,51,54,0,0,115.41,13.77104041,0.978313306,13.07630901,24.1349481,10.95052083,279,318,22,21,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,3
4091,129.1669987,2.9021,0,2,0,17,0,0,16,5,3,1,0,0,4,0.25,8,0,48.084,20,19,0,0,91.49,7.498508354,0.998877061,6.50693819,9,3.92,85,69,4,11,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5288382,560.6439877,12.0287,0,9,0,72,0,0,51,11,3,2,0,1,0,0.12195122,41,1,187.2342,80,81,0,0,163.48,14.6454809,0.718202233,19.3918621,36.19274242,17.33333333,408,406,29,40,2,9,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,3,0,0,1,0
5743,392.4669906,6.2681,0,4,1,56,0,0,34,5,3,3,0,3,0,0.064516129,31,0,133.6234,57,60,0,0,94.83,12.02617674,0.978333624,11.29251091,21.24037461,6.497686009,325,386,22,29,0,5,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0
4211,320.0459921,7.6744,12,0,0,17,0,0,10,0,0,0,0,0,0,0.157894737,19,0,90.884,28,29,0,0,0,8.751606794,1.084821272,7.067325945,14.4099723,6.437869822,144,162,14,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2662,381.3789928,7.3297,17,2,3,23,0,0,18,5,1,0,0,0,0,0.142857143,28,1,104.5718,40,42,0,2,86.36,11.84075416,1.019569328,10.61348604,20.72704082,7.78799351,210,233,17,14,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
71384,268.272995,2.5576,0,4,0,32,0,0,22,6,4,4,0,0,2,0.15,20,2,72.728,35,36,0,0,101.22,9.418706652,1.008596808,8.338425998,15.39,6.635204082,188,200,11,16,4,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0
5453,189.2240005,4.6078,0,1,0,24,0,0,16,4,0,0,0,0,0,0.230769231,13,3,54.8946,23,25,0,0,50.93,6.78095728,1.079731244,5.280226973,6.50887574,1.836734694,140,160,6,12,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
9703,257.7649951,6.9926,6,1,0,29,0,0,24,4,4,3,0,0,0,0.375,16,0,92.3057,37,36,0,0,53.16,12.57399339,0.193923219,63.84006135,17,9,172,164,12,20,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
11683,384.5159912,9.9334,0,5,0,58,0,0,36,4,0,0,0,0,0,0.096774194,31,0,143.105,60,63,0,0,60.44,11.3686241,1.062412139,9.700766379,21.24037461,7.017301038,342,383,24,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0
2478,246.3059986,5.4172,0,4,0,23,0,0,20,6,0,0,0,0,0,0.538461538,13,0,65.852,28,27,0,4,103.5,9.790191906,1.062812916,8.21158537,14,5.777777778,140,128,6,14,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2708,303.2089932,7.9709,6,1,0,31,0,0,20,3,0,1,1,0,0,0.473684211,19,0,98.0975,37,37,0,0,43.37,11.04312364,0.977366468,10.29885668,17.05263158,9.833648393,191,192,14,19,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
6450551,386.4799941,7.8447,22,2,0,25,0,0,23,5,2,2,0,0,0,0.193548387,31,2,131.6573,46,49,0,0,95.97,17.39383913,1.010536234,16.21248436,21.24037461,10.34693878,236,258,22,18,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4
2187,293.3739947,5.81496,11,0,0,29,2,0,23,5,0,0,0,0,0,0.173913043,23,1,103.892,41,42,0,0,78.29,10.69852265,1.073159413,8.969183067,18.34026465,7.266435986,211,219,17,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
25126798,306.3729947,6.43538,15,0,0,28,1,0,22,5,1,1,0,0,0,0.153846154,26,3,106.5874,41,44,0,0,83.18,11.66255971,1.013489916,10.50732684,16.46745562,7.486111111,228,260,17,18,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3
60699,457.91399,6.4559,17,2,0,40,0,0,30,7,4,3,0,1,1,0.085714286,35,4,149.1355,56,59,0,0,106.09,14.85652398,0.042678105,347.1064557,25.10367347,9.223140496,300,330,23,24,3,5,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,5,3
4114,216.1919947,3.9501,15,1,0,10,0,0,10,4,0,0,0,0,0,0.055555556,18,2,67.204,24,26,0,0,52.58,9.147586949,1.081812131,7.455799933,11.11111111,4.349112426,128,140,12,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3
123631,446.9099903,10.3285,17,0,1,41,0,0,30,5,2,2,0,0,1,0.235294118,34,2,141.7593,55,58,0,0,69.94,13.08303063,1.015000534,11.88967857,24.1349481,11.92344045,294,309,22,24,4,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,4,3
2123,210.2849972,4.7934,6,0,0,27,0,0,24,6,0,0,0,0,0,0.2,15,1,81.474,33,33,0,0,48.39,8.656542297,1.093801486,6.914180415,13.06666667,5.365079365,162,135,9,18,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
176871,429.9039907,9.8226,17,0,0,37,1,0,31,6,2,1,0,0,0,0.322580645,31,1,143.6924,54,55,0,0,74.73,11.26123102,0.141694779,78.47527121,26.25390219,14.21,264,261,22,24,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,3,3
444795,299.4339932,9.7872,0,6,0,44,0,0,28,2,0,1,1,0,0,0.227272727,22,0,121.8785,49,49,0,0,40.13,15.87722906,0.974234496,15.2971329,20.04545455,9.333333333,248,239,20,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2141,214.2269996,3.923,0,1,0,25,0,0,17,4,4,2,2,0,1,0.636363636,11,0,68.9997,27,26,0,0,142.55,9.848997276,0.976903579,9.081851973,12,6.50887574,127,120,5,15,2,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11525740,473.9899931,10.0483,22,2,0,34,0,0,32,7,3,1,0,0,0,0.147058824,34,2,153.6052,56,58,0,2,127.41,17.95758572,0.13475266,132.263312,26.60207612,10.7266436,284,296,21,24,7,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4
11626560,450.3449905,10.167,17,0,1,38,0,0,26,5,2,0,0,0,1,0.151515152,33,3,138.5181,52,55,0,0,82.57,14.91694036,1.012451722,13.73348313,23.16804408,10.29244002,280,310,21,22,5,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,3
644241,529.5259883,9.6508,29,1,3,35,0,0,29,7,2,2,0,0,0,0.186046512,43,3,164.1423,61,65,0,0,97.62,17.77036266,1.01173276,16.56428513,30.45754462,13.53329865,320,351,28,22,7,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,5
3902,285.3099946,4.10766,17,0,0,16,2,0,15,5,0,0,0,0,0,0.125,24,1,91.315,33,35,0,0,78.29,11.35899751,1.074601662,9.570426145,16.84375,8.203125,169,193,17,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
3363,246.1939944,0.4035,6,2,1,21,0,0,16,6,3,3,0,2,0,0.111111111,18,2,65.274,28,29,0,0,104.55,9.916291878,0.976372237,9.156261623,13.43209877,5.325443787,149,171,9,11,2,5,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,2,1
354624,303.6809939,2.7593,10,0,1,23,0,0,18,8,3,2,0,2,0,0.090909091,22,3,78.6874,31,33,0,0,119.31,11.58997216,0.977865909,10.85231232,14.91735537,5.652892562,169,196,10,11,5,3,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,2
60198,296.4099932,8.1208,0,5,0,44,0,0,26,2,0,0,0,0,0,0,25,0,113.624,46,49,0,0,34.14,9.253909164,1.072431159,7.6289074,15.5232,4.99702558,266,312,20,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
3690,261.0889963,6.7295,0,1,0,28,0,0,19,4,1,1,0,0,0,0.357142857,14,1,72.2281,29,29,0,0,51.38,8.264497841,1.037588873,6.965098758,12.07142857,5.777777778,153,152,7,15,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2094,136.1139979,0.2722,10,1,0,4,0,0,7,3,2,2,0,0,0,0,11,2,37.6648,14,15,0,0,74.43,6.279511731,1.01811498,5.167782473,6.694214876,2.56,72,81,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
